Country Name,Country Code,Year,GDP per capita current US$,Gov expenditure pct GDP
Switzerland,CHE,1974,9004.788599,27.4588
Sweden,SWE,1975,10102.638890937214,30.565166
Switzerland,CHE,1975,10328.108938843328,29.3119
Sweden,SWE,1976,10852.519244142792,32.34024
Switzerland,CHE,1976,10864.97123110799,31.5734
Denmark,DNK,1977,9769.578642839675,45.6491
Iceland,ISL,1977,10305.31133495016,31.707
Netherlands,NLD,1977,9180.299184617717,50.5879
Norway,NOR,1977,10266.120671869805,46.5343
United States,USA,1977,9452.57651914511,33.388477
Belgium,BEL,1978,10289.76841732961,52.758
Canada,CAN,1978,9154.433252777355,41.6152
France,FRA,1978,9166.590119613908,44.7102
Germany,DEU,1978,9516.782832289073,47.7468
Japan,JPN,1978,9012.136035231819,32.0974
United States,USA,1978,10564.94822202754,32.60734
Australia,AUS,1979,9307.821279500107,32.516582
Austria,AUT,1979,9755.404456257897,49.756
Canada,CAN,1979,10077.502670726899,40.0391
Finland,FIN,1979,9333.07695567452,40.31
Japan,JPN,1979,9301.148310262934,33.1794
Australia,AUS,1980,10223.288667510487,33.210144
Austria,AUT,1980,10826.971827499463,50.0084
Japan,JPN,1980,9668.746263957091,33.4513
United Kingdom,GBR,1980,10032.062080014974,47.6344
Austria,AUT,1981,9348.488323952324,51.521
Belgium,BEL,1981,10622.802483078915,61.5415
Finland,FIN,1981,10925.095716118118,41.04
France,FRA,1981,10955.90029961675,48.5316
Germany,DEU,1981,10246.476762318765,49.0252
Japan,JPN,1981,10583.127890840195,31.509295
United Kingdom,GBR,1981,9599.306222219648,51.1957
Austria,AUT,1982,9373.48820626125,52.0307
Belgium,BEL,1982,9343.861099596179,59.6244
Finland,FIN,1982,10935.311058848634,42.74
France,FRA,1982,10359.892066354889,49.8704
Germany,DEU,1982,9950.059260253649,49.1236
Japan,JPN,1982,9779.974906362666,31.730806
United Kingdom,GBR,1982,9146.077357018517,50.7501
Austria,AUT,1983,9500.050704174944,52.4378
Finland,FIN,1983,10493.962663680604,44.39
France,FRA,1983,9862.284493865862,50.2373
Germany,DEU,1983,9900.485592335259,47.9191
Japan,JPN,1983,10652.014716176764,31.839483
Netherlands,NLD,1983,10696.077495868194,59.1089
Finland,FIN,1984,10830.218522266328,44.38
France,FRA,1984,9311.894264521288,51.2211
Germany,DEU,1984,9347.290684123767,47.1596
Netherlands,NLD,1984,9991.843776556509,58.1413
Austria,AUT,1985,9136.170925596945,53.5177
France,FRA,1985,9657.01938533723,51.884
Germany,DEU,1985,9464.116947108565,46.5613
Netherlands,NLD,1985,9940.73843593795,57.2607
New Zealand,NZL,1986,9427.553940353479,46.88326
United Kingdom,GBR,1986,10611.112210095978,44.6397
"Hong Kong SAR, China",HKG,1987,9071.390764734446,11.767137
Ireland,IRL,1987,9581.913085724145,51.4041
Israel,ISR,1987,9853.40893452981,52.77
"Hong Kong SAR, China",HKG,1988,10609.745639454548,11.681082
Ireland,IRL,1988,10715.87027805391,48.2475
Spain,ESP,1988,9696.192853853798,28.6402
Spain,ESP,1989,10674.341023010704,32.0925
Bahrain,BHR,1990,9342.538914016883,32.36251
Greece,GRC,1990,9466.662385021744,37.96846
Kuwait,KWT,1990,10937.541526880797,121.51952
Bahrain,BHR,1991,10434.132396278646,28.535748
Greece,GRC,1991,10046.666387547462,34.706005
"Bahamas, The",BHS,1992,10873.404750163503,11.796144
Bahrain,BHR,1992,10460.158322280826,29.398846
Portugal,PRT,1992,10810.566507962558,42.477
"Bahamas, The",BHS,1993,10613.065878581308,11.511544
Greece,GRC,1993,10257.308578907285,38.089878
"Korea, Rep.",KOR,1993,9179.968724851517,15.0622
Portugal,PRT,1993,9534.656363730797,44.1459
Saudi Arabia,SAU,1993,10884.860788077705,37.731644
Antigua and Barbuda,ATG,1994,9351.487537685045,21.153938
"Bahamas, The",BHS,1994,10991.234667413131,11.7489605
Greece,GRC,1994,10937.022380861115,36.41131
"Korea, Rep.",KOR,1994,10733.988886065747,15.4012
Portugal,PRT,1994,9977.319909057709,42.4532
Saudi Arabia,SAU,1994,10601.919669780538,33.794125
Antigua and Barbuda,ATG,1995,9034.475529071431,20.986893
Saudi Arabia,SAU,1995,10786.4008952769,32.41316
Slovenia,SVN,1995,10738.088761146779,53.016163
Antigua and Barbuda,ATG,1996,9756.08717951992,19.571445
Barbados,BRB,1996,9011.778848387215,20.147236
Slovenia,SVN,1996,10796.739944628272,45.181477
Antigua and Barbuda,ATG,1997,10336.25916178377,16.757488
Barbados,BRB,1997,9521.571273771226,20.695354
Slovenia,SVN,1997,10436.726066187064,45.407658
Antigua and Barbuda,ATG,1998,10906.878540696138,20.66067
Barbados,BRB,1998,10734.36372428835,18.765493
Saudi Arabia,SAU,1998,9836.057297685738,34.530685
Saudi Arabia,SAU,1999,10452.189940047903,30.314838
St. Kitts and Nevis,KNA,1999,9116.28627997718,33.5898
Oman,OMN,2000,9753.847551854038,31.221806
Slovenia,SVN,2000,10135.721910921158,47.81042
St. Kitts and Nevis,KNA,2000,9319.655450935246,34.63032
Oman,OMN,2001,9611.963601910536,33.2787
Saudi Arabia,SAU,2001,10805.311325121995,36.939186
Slovenia,SVN,2001,10375.625586986062,49.160362
St. Kitts and Nevis,KNA,2001,10022.591923563721,30.85524
Oman,OMN,2002,9869.130502194377,34.137516
Saudi Arabia,SAU,2002,10586.05434713628,35.86387
St. Kitts and Nevis,KNA,2002,10453.658706431253,35.414196
Czechia,CZE,2003,9852.456779458013,48.950356
Oman,OMN,2003,10463.54258321412,33.956802
Seychelles,SYC,2003,9070.284607570127,44.6277
St. Kitts and Nevis,KNA,2003,10175.629544998916,30.858278
Croatia,HRV,2004,9718.973228019671,48.52413
Hungary,HUN,2004,10291.269472140895,48.72172
Seychelles,SYC,2004,10827.671636032957,39.8955
Slovak Republic,SVK,2004,10650.129009712562,37.91984
St. Kitts and Nevis,KNA,2004,10944.618374176831,33.676968
Trinidad and Tobago,TTO,2004,9871.034198200861,23.343203
Croatia,HRV,2005,10443.527835329447,46.007572
Estonia,EST,2005,10414.638118356492,33.71131
Chile,CHL,2006,9318.656552961205,18.730162
Equatorial Guinea,GNQ,2006,10184.884124854147,18.09294
Latvia,LVA,2006,9211.7374468148,33.675213
Mexico,MEX,2006,9512.635753466991,21.576569
Poland,POL,2006,9068.855283076271,44.451424
Chile,CHL,2007,10346.413818453251,19.306606
Mexico,MEX,2007,10134.332713811855,22.521006
Russian Federation,RUS,2007,9101.2392578125,31.941519
Turkiye,TUR,2007,9766.91734545294,32.89378
Chile,CHL,2008,10683.218877251113,21.79111
Gabon,GAB,2008,9688.645196906331,18.9291
Mexico,MEX,2008,10523.768540324385,26.501976
Romania,ROU,2008,10435.156123078721,35.271397
Turkiye,TUR,2008,10913.407904776937,33.69474
Uruguay,URY,2008,9423.965625958926,26.29236
Chile,CHL,2009,10098.801716728622,24.975693
Seychelles,SYC,2009,9747.09180546291,32.117413
Turkiye,TUR,2009,9076.924722369766,37.22808
Uruguay,URY,2009,9881.395731270806,27.193434
Argentina,ARG,2010,10260.13131082542,33.35807
Mexico,MEX,2010,9728.800783770816,26.482124
Russian Federation,RUS,2010,10674.990234375,35.50483
Seychelles,SYC,2010,10934.79494629001,34.575912
Turkiye,TUR,2010,10698.969940975661,35.4779
