Country Name,Country Code,Year,GDP per capita constant 2015 US$,Gov expenditure pct GDP
France,FRA,1960,10776.1233606616,22.1784
Italy,ITA,1960,9731.19625431272,16.4946
Israel,ISR,1961,9458.13687828878,30.294
Italy,ITA,1961,10459.7143639693,17.2626
Ireland,IRL,1962,9214.97240348103,31.6814
Israel,ISR,1962,9927.99616951036,27.6861
Ireland,IRL,1963,9596.02159511334,33.6481
Israel,ISR,1963,10592.5873830972,26.8509
Ireland,IRL,1964,9911.030180413,34.8458
Israel,ISR,1964,10989.8657539568,28.1987
Japan,JPN,1964,9084.79518055673,19.8382
Ireland,IRL,1965,10064.9100446875,35.8227
Japan,JPN,1965,9510.54956579433,20.4136
Spain,ESP,1965,9032.89961283128,14.0283
Ireland,IRL,1966,10114.3738462925,36.8868
Japan,JPN,1966,10426.6399028169,20.8222
Spain,ESP,1966,9588.73319424273,11.7514
Ireland,IRL,1967,10649.2423864994,39.3046
Spain,ESP,1967,9882.54411828384,12.4852
Spain,ESP,1968,10397.6393444975,12.8161
Argentina,ARG,1969,9111.9459748551,12.2633
Greece,GRC,1969,9814.49791967552,29.705
Argentina,ARG,1970,9244.12251785153,12.0469
Greece,GRC,1970,10666.6208776244,25.1725
Argentina,ARG,1971,9614.61061692134,11.7246
Argentina,ARG,1972,9617.68814943737,11.1593
Argentina,ARG,1973,9729.53258885903,12.5871
Portugal,PRT,1973,9877.2804544881,25.7149
Argentina,ARG,1974,10100.4469136163,14.0412
Portugal,PRT,1974,9851.78068681759,25.8327
Argentina,ARG,1975,9936.49583447894,12.507
Portugal,PRT,1975,9072.05093725209,31.8835
Argentina,ARG,1976,9584.74851751038,13.0195
"Hong Kong SAR, China",HKG,1976,9468.5462833744,11.6511
Portugal,PRT,1976,9426.10699955096,38.1808
Argentina,ARG,1977,10088.3374871635,12.5925
"Hong Kong SAR, China",HKG,1977,10427.1603937244,9.00024
Portugal,PRT,1977,9849.08360264936,35.0848
Argentina,ARG,1978,9480.94009490414,14.8525
Portugal,PRT,1978,10017.7579882054,31.7421
Argentina,ARG,1979,10284.6064087552,14.4999
Portugal,PRT,1979,10469.8136145657,30.8128
Argentina,ARG,1980,10275.7987023886,15.174
Portugal,PRT,1980,10832.5268441458,32.3566
Argentina,ARG,1981,9587.67379423426,17.0253
Portugal,PRT,1981,10912.7743508823,35.3388
Argentina,ARG,1982,9365.68465387847,15.8724
Argentina,ARG,1983,9617.7000569575,14.1823
Argentina,ARG,1984,9614.44726215357,13.0395
Portugal,PRT,1984,10759.1130776416,34.5887
Argentina,ARG,1986,9378.46866394349,13.6855
Argentina,ARG,1987,9484.45876638052,13.7269
Argentina,ARG,1988,9236.80771302535,12.3347
"Korea, Rep.",KOR,1990,9672.57845182894,15.1529
St. Kitts and Nevis,KNA,1990,10136.986550185,19.307901
"Korea, Rep.",KOR,1991,10618.8431439122,15.3827
St. Kitts and Nevis,KNA,1991,9966.20374372867,18.21503
Argentina,ARG,1992,9293.18692251748,12.0994
Seychelles,SYC,1992,9497.7554107084,50.711327
St. Kitts and Nevis,KNA,1992,10300.5415354294,19.7802
Uruguay,URY,1992,9193.55122074713,23.6283
Argentina,ARG,1993,9920.67358582437,13.3105
Seychelles,SYC,1993,9981.2446035158,60.354088
St. Kitts and Nevis,KNA,1993,10860.6034990877,21.32541
Uruguay,URY,1993,9388.10939080161,27.7241
Argentina,ARG,1994,10359.8927204871,14.1744
Seychelles,SYC,1994,9481.8805265777,63.647453
Uruguay,URY,1994,10019.3479243955,29.5013
Argentina,ARG,1995,9934.10776139515,14.3942
Seychelles,SYC,1995,9388.81967720743,53.09576
Uruguay,URY,1995,9822.89680356996,26.1545
Argentina,ARG,1996,10352.1400002191,14.11
Seychelles,SYC,1996,10177.0904671696,59.110447
Uruguay,URY,1996,10316.2027570949,26.5277
Estonia,EST,1998,9199.93534127632,38.90316
Mexico,MEX,1998,9161.89527783381,19.478205
St. Lucia,LCA,1998,9183.3516374622,18.573296
Argentina,ARG,1999,10838.3199346387,25.471287
Estonia,EST,1999,9133.89593384355,40.65521
Mexico,MEX,1999,9264.97729259968,20.136948
St. Lucia,LCA,1999,9306.76032489833,20.883501
Trinidad and Tobago,TTO,1999,9412.08108378445,24.825653
Argentina,ARG,2000,10631.6503639029,25.247238
Estonia,EST,2000,10006.7696280939,36.36635
Mexico,MEX,2000,9581.96970210753,19.386517
St. Lucia,LCA,2000,9198.93894352203,20.925182
Trinidad and Tobago,TTO,2000,10023.0206669207,24.086592
Argentina,ARG,2001,10051.9448463043,26.432499
Croatia,HRV,2001,9515.73569793698,50.62757
Estonia,EST,2001,10662.9455020331,34.936996
Hungary,HUN,2001,9365.95393193015,47.252357
Mexico,MEX,2001,9398.35074355724,19.546576
Slovak Republic,SVK,2001,9277.35808851002,45.306774
Trinidad and Tobago,TTO,2001,10395.2041042218,25.222391
